"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7"
"GSN","S100A10","MMP3","CHI3L2","PLA2G2A","ACTA2","ENSG00000006075","IGF2"
"ABI3BP","COL1A1","SERPINE2","ID3","CXCL12","RGS5","ENSG00000129277","VWF"
"VCAN","TMSB4X","SOD2","ID1","CFD","TAGLN","CXCL8","SELE"
"CCN2","CRIP1","INHBA","SCRG1","SFRP2","MYL9","CXCL3","PLVAP"
"PCOLCE2","TPPP3","AKR1C2","ANGPTL7","SFRP1","NOTCH3","HLA-DRA","ACKR1"
"ENSG00000179094","LGALS1","LIF","ID2","IGFBP4","ENSG00000076706","CD74","STC1"
"RHOB","TGFBI","COL2A1","C2orf40","EFEMP1","COL18A1","CXCL1","BCAM"
"TNXB","SH3BGRL3","AKR1B1","CDO1","SERPINF1","MYH11","IL1B","EGFL7"
"MYOC","SLN","NOS2","MT1X","COL14A1","A2M","HLA-DRB1","PODXL"
"TSC22D3","COL6A3","AKR1C1","CRYAB","PLAC9","NR2F2","TYROBP","A2M"
"FBLN1","NBL1","SDC4","NPC2","MMP2","CALD1","ENSG00000205021","CD74"
"LTBP4","DPT","FGF2","ACAN","SCARA5","ITGA7","RNASE1","THBD"
"FBLN2","MIF","SLC7A2","ENSG00000177410","PODN","MYLK","SPP1","SLC9A3R2"
"FOSB","S100A4","C11orf96","RPL9","TMSB10","PPP1R14A","C1QA","CD93"
"NR4A1","DKK3","TNFAIP6","ENSG00000229807","CST3","SPARCL1","TNF","ENSG00000267107"
"JUN","SERF2","FN1","RPS6","CCN5","LGI4","HLA-DPB1","ITGA6"
"TGFBR3","S100A6","PDE4B","EIF3E","C3","SYNPO2","HLA-DPA1","IFI27"
"KLF2","OST4","TNC","RPS27A","FTH1","TINAGL1","ENSG00000256515","RAMP2"
"PLPP3","ASPN","SLC39A14","RPL10","C1R","CNN1","FCER1G","ITGB4"
"CFD","CD99","WTAP","RPL24","CXCL14","PPP1R12B","RGS1","TIE1"
"EZR","FN1","CHI3L2","RPS3A","TMEM176A","BCAM","FTL","HLA-DRB1"
"ZFP36L2","COL1A2","CITED4","RPL13","B2M","RERGL","LAPTM5","SOX18"
"HEXIM1","ATP5F1E","SOX9","RPL7","CYP1B1","IGFBP7","SRGN","SPARCL1"
"HSPA1A","NDUFA4L2","SERPINA1","RPL22","SPARCL1","LMOD1","C1QC","MMRN2"
"GPX3","HTRA1","MYO10","RPS15A","FTL","ADGRF5","LGMN","EMCN"
"SRRM2","GAPDH","CHI3L1","RPL19","TMEM176B","PDE5A","C1QB","PLAT"
"CPAMD8","CST3","LOX","RPL12","FBLN2","ABCC9","GPR183","EFNA1"
"HNRNPH1","SPARC","ICAM1","RPS16","GGT5","MRVI1","AIF1","CLDN5"
"MT1A","ACTB","VEGFA","RPS12","SFRP4","NEURL1B","MARCO","RNASE1"
"CCNL1","COL6A2","DGKI","RPL18A","SRPX","CD36","HLA-DQB1","CDH5"
"SRSF3","RPL10","BMP2","TOMM7","SELENOP","PARM1","HLA-DQA1","ECSCR"
"GADD45B","RPL27A","TIAM2","RPL37","MFAP5","TBX2","CD83","SLCO2A1"
"AHNAK","POSTN","COL3A1","NDUFA4L2","C1S","COX4I2","CXCL5","ADCY4"
"SCARA3","LRRC15","BTG1","RPL5","RPL13A","CHN1","CTSS","ADGRF5"
"SERPING1","S100A11","HMOX1","RPL26","EPHX1","PLN","STAB1","SYNE2"
"MCL1","CD63","ACKR3","RPL32","TMSB4X","ACTG2","FOLR2","ADGRL4"
"DUSP1","RPS4X","PTGS2","RPLP2","RPL11","GJA4","PLEK","SHANK3"
"TIMP3","RPL28","XBP1","RPL21","RPS18","RCAN2","HLA-DMA","CD34"
"HNRNPDL","MXRA5","SQSTM1","RPS4X","RPL37","EDNRA","PMAIP1","CALCRL"
"MT-ND4","VKORC1","FMOD","RPL29","ABCA8","KCNJ8","MS4A6A","PTPRB"
"MT-ATP6","TMSB10","TSC22D1","RPL23A","CD248","SCN4B","HLA-DQA2","RAPGEF3"
"JUND","AEBP1","MTHFD2","RPS25","IGF1","HES4","LYZ","GATA2"
"BRD2","PPIB","COL15A1","RPL34","PDGFD","CPE","MSR1","RAMP3"
"MT-ND5","RPS19","C2CD4B","RPL13A","RPS9","GUCY1B1","ALOX5AP","SOX7"
"JUNB","COL5A1","MIA","RPS7","RPS27","TPM2","FCGR2A","ITM2A"
"MT-CYB","RPS10","TXNRD1","RPL35A","RPL13","MT-CO3","HCST","B2M"
"CD81","MMP2","CHAC1","RPL15","RPS15A","MT-CO1","SPI1","SPRY1"
"CILP","PFN1","SLC7A5","RPS9","RPS23","LAMA5","RBM47","S1PR1"
"FOS","ANGPTL2","COMP","RPL36","RPS12","COL4A2","BCL2A1","PDE2A"
"ZFP36L1","CTHRC1","RGCC","RPS24","CCDC80","MT-CO2","LYVE1","CLEC14A"
"MT-CO3","COL5A2","SLC25A37","RPS8","RPL35A","COL4A1","VAMP8","APLNR"
"MT-ND1","SPON2","NINJ1","FAU","BASP1","APOE","MMP9","GIMAP6"
"PRG4","RPL17","CDON","RPS23","RPS15","ADRA2A","CD163","TSPAN7"
"CLU","PRSS23","SLC7A11","RPLP1","IFI27","GUCY1A1","LCP1","ADAMTS9"
"TIMP2","RPL14","RCAN1","RPL30","TMEM119","MT-ND1","IL1RN","ESAM"
"KLF4","RPL19","PMEPA1","RPS18","GPNMB","FLNA","CYBB","GIMAP5"
"MT-ND2","RPS14","NFKBIZ","RPL37A","EBF1","MT-ND4","ITGB2","RASIP1"
"MT-CO2","COL6A1","HTRA1","RPS27","TSHZ2","MT-ATP6","VSIG4","GIMAP7"
"DCN","CRTAC1","PXYLP1","RPL41","RPS4X","TPM1","CSF1R","FLT1"
"IER2","CERCAM","CX3CL1","FTL","RPL12","CCL8","ENSG00000197262","DIPK2B"
"MT-CO1","RPL29","HAPLN1","NFKBIA","RPL32","EFHD1","DUSP2","ENSG00000076706"
"MT1X","RPS7","KLHL21","RPL18","RPL26","IGFBP2","IRF8","JAG2"
"ENSG00000128016","ITGB1","BGN","RPL11","RPS10","ARHGEF17","HLA-DMB","SEMA3G"
"S100A1","POLR2L","NFATC2","CHAD","MGST1","ACTB","LST1","C1orf115"
"HSP90AB1","THY1","TNFRSF11B","EEF1D","RPL34","STEAP4","C5AR1","ARHGEF15"
"BCL6","STMP1","UGDH","RPL35","LGALS3BP","OLFML2A","IL1A","PRKCH"
"CEBPD","C4orf48","GARS","ADM","SERF2","ARHGDIB","CD53","TM4SF18"
"TSPYL2","PPIC","SLC3A2","LOX","PLTP","MT-CYB","ITGAM","ENTPD1"
"CCNL2","C12orf75","PGK1","RPS5","RPL10","AOC3","C15orf48","GIMAP1"
"HSPA1B","LOXL1","ACAN","ASPN","RPLP1","ADAMTS1","ENSG00000006074","CAVIN2"
"SPARCL1","GUK1","PLOD2","NRN1","RPS28","MT1A","LILRB5","MYCT1"
"RPS11","MMP14","PTGES","GABARAPL2","LAMB1","NRARP","F13A1","EDNRB"
"RASD1","UQCR11","ATP1B1","RPL7A","MFAP4","MYL6","LCP2","KDR"
"MT-ND4L","TAGLN2","SCRG1","LUM","CFH","LPP","MS4A7","CYYR1"
"FUS","LOXL2","TGFBI","RPL39","RPL27A","EBF2","ACP5","TMEM273"
"PSAP","BASP1","BIRC2","SAP18","RPL29","SEMA5A","CXCR4","RAPGEF4"
"UBC","ELOB","ASNS","RPL3","S100A6","ACTN4","FCGR2B","MAPK11"
"LMNA","AQP1","GPRC5A","H3F3B","RPL35","PRKG1","SNX10","KANK3"
"DDX3Y","TPM4","RAPH1","RPS14","VCAN","ESAM","CD37","GIMAP4"
"MT-ND3","FSTL1","LARP6","RPS3","RPL39","NES","FPR3","IL3RA"
"IER3","RPL6","PNRC1","CP","RPS27A","CYFIP2","EMB","SOX17"
"NXF1","MICOS10","PAPSS2","RPS13","RPL38","FILIP1L","CLEC7A","EDN1"
"NFIA","RPS27L","CSPG4","RPL31","RPL14","ITGA3","ARRB2","SEMA3F"
"NNMT","ANXA2","ARNTL","RPS19","RPL10A","RBPMS","FCGR3A","DLL4"
"EGR1","TMA7","GCLM","RPS15","RPL19","MYH9","SLCO2B1","FAM107A"
"SNRNP70","CAVIN3","PPP1R14C","RPS20","MT-ND3","ZFP36L1","MPEG1","HSPA12B"
"CEBPB","ENSG00000125726","SMOC1","PTMA","RPL28","ATF3","IL10RA","TEK"
"SLPI","UQCRQ","COL8A1","PFDN5","TSPAN11","CYP26B1","ENSG00000205020","ENSG00000213494"
"SOCS3","TIMP1","CEBPG","RPL8","RPL31","MT-ND2","HPGDS","IL33"
"PKD1","IGFBP5","TM4SF1","GADD45B","RPS24","CAVIN1","PTPRC","MCF2L"
"NDRG2","C1QTNF3","RNF144B","SSR3","ITM2A","C11orf96","MS4A4A","MCTP1"
"MYO15B","ARL4C","USP12","DCN","RPL17","GGT5","GMFG","ROBO4"
"HAS1","AKR7A2","TIFA","RPL38","RPS16","SPEG","NCF1","CRHBP"
"IL16","IFI27","CYLD","SNAI1","FYN","MAP3K20","PIK3R5","GIMAP8"
"LDLR","FAP","TNFRSF10B","TMEM59","RAMP2","MT-ND3","IQGAP2","FAM110D"
"PDK4","CTSB","COLGALT2","DLX5","APOE","ENSG00000128016","CD84","CCM2L"
"LMO2","HCFC1R1","GBE1","SELENOM","HAS2","EPAS1","C3AR1","CCDC69"
"COL6A1","ARF5","HERPUD1","SERTAD1","TAGLN","STOM","CCR1","SEMA6A"
"DHCR24","IFI27L2","TNFRSF12A","RGS16","CALD1","HSPA1A","NLRP3","SYT1"
"RSRP1","CCDC80","PFKP","FRZB","RPS3A","BST2","FERMT3","ENSG00000183018"
"CDKN1A","FAM114A1","PGAM1","COMMD6","C1QTNF4","PDLIM1","GATM","ATP2A3"
"SRSF5","ADAM12","RNF19B","CKS2","IFITM1","LGALS3BP","CPVL","GNG11"
"HES1","CADM1","NFKB1","RPL6","SERPING1","MAP1B","NCF2","F2R"
"IER5L","ATOX1","RFLNB","C12orf57","FGL2","JAG1","ITGAX","PLXND1"
"POLG2","CRABP2","FNDC3B","RPL14","PHLDB2","HSPB1","MNDA","HLA-B"
"ENSG00000117289","PRDX4","CLIC4","H2AFX","RPL24","CCL2","PIK3AP1","F11R"
"ATF3","CLEC11A","SIPA1L2","UBA52","ID3","ISYNA1","GNA15","GPRC5B"
"LENG8","ANAPC11","MIF","TMEM45A","RPL27","CXCL12","FMNL1","ACVRL1"
"SMAD3","CAPZB","SLC38A1","BTF3","MYC","PTMA","LILRB4","CTSH"
"MT1E","HSD3B7","PHGDH","GAPDH","SPRY1","ARHGEF25","HAVCR2","EFNB2"
"ENSG00000214548","CAPS","SHMT2","SUMO2","CCL2","SOCS3","RNASE6","HLA-DRA"
"PPP1R10","PHPT1","PHC2","RPL27","IL6","DSTN","SIGLEC1","HLA-E"
"YBX3","DYNLL1","ARSJ","SOD1","PRSS23","MEF2C","DOK2","CD200"
"C1S","SSC5D","ENPP1","EEF1B2","CCN3","ADIRF","CYTH4","NOTCH4"
"GADD45G","COL14A1","IGFBP3","TNC","KCNE4","CRIM1","KYNU","NES"
"ISLR","NOP10","PDLIM4","NACA","RPS7","LDLR","GPSM3","APOLD1"
"MT1M","HIGD2A","FNIP2","RPS2","PCOLCE","SMARCD3","CLEC5A","BCL6B"
"SOD3","ITGB5","FOSL1","SMOC2","COL6A3","B2M","STXBP2","MRTFB"
"LAG3","C4orf3","ABHD2","RPL10A","OLFML3","PALLD","NCF4","NRARP"
"COL16A1","CUTA","CHMP4B","UQCRB","MYL9","APOLD1","FTH1","JAM2"
"PHLDB1","RHOC","SLC25A28","PRDX4","TFPI","JUN","TAGAP","PTK2B"
"CYBRD1","CAPG","CD55","SEC11A","RPL5","ADAMTS4","CTSZ","LDB2"
"ITGA10","OSTC","COL5A1","NPM1","HSPA1A","COL5A3","RASGRP3","ECE1"
"ACAP3","ATP5ME","ABI1","CILP2","AHR","CSRP1","CD14","ADGRL2"
"PRELP","TRAPPC1","GLS","SOD3","AKAP12","NR4A1","CCRL2","ERG"
"HNRNPL","PPDPF","NUPR1","NR4A2","ZFP36L1","PGM5","EMILIN2","IFI44L"
"TUBB4B","MGST3","CXCL2","PRELP","ENSG00000166147","PGF","LPXN","DLL1"
"RPS4Y1","PDLIM3","BIRC3","CD9","IFITM3","HLA-B","IL10","ENSG00000237697"
"MXRA8","ATP5MF","COL11A1","ARL6IP1","ANGPTL1","TFPI","LTC4S","ARHGEF3"
"IER5","AK1","PIM3","CLEC3A","IGFBP7","KANK2","CD68","ADAM15"
"TRIM28","UBL5","MELTF","FAM162A","RACK1","CLMN","VMO1","SH2D3C"
"ENSG00000267519","NDUFB7","NRP2","TUBB2A","CD63","TNS1","ST3GAL6","HDAC7"
"LTBP3","CEMIP","BZW1","PPP1R15A","ARC","ZEB2","FABP5","PDGFB"
"HLA-E","PLTP","RETREG1","ADIRF","HSP90AA1","IGFBP5","SELENOP","PDLIM1"
"ADAMTS1","GSTP1","SUSD6","SEC61G","CELF2","VCL","CXCL16","SEMA6B"
"CCDC3","SEC61G","DDIT4L","CCNI","CXCL3","KCNE4","TMSB10","ETS2"
"FKBP5","ARPC3","SERTAD2","FBXO2","KCTD12","SLC2A3","PDGFB","AGRN"
"DNAJB1","CRLF1","SLC2A1","JUNB","FOS","PHLDB2","CXCL2","ARAP3"
"MFGE8","DYNLT1","SERPINE1","GEM","RPL36A","KLF6","MT-CO1","MAGI1"
"PGGHG","TREM1","COL13A1","COL12A1","HMCN1","EBF1","TMSB4X","PEAR1"
"NFIB","RAB31","MAST4","H2AFZ","SOCS3","GJC1","DAPK1","NOTCH1"
"DDX5","NDUFB2","MAPKAPK2","TIMP4","LAMA4","INPP5A","TLR2","ICA1"
"KLF9","CLEC3B","LUM","PHLDA2","IFI16","PDGFA","ARHGAP18","CNKSR3"
"COMP","DBI","B3GNT7","DDIT3","GEM","PDGFRB","ENSG00000234883","KCNN3"
"SRSF2","C9orf16","ANGPTL4","COL3A1","MDK","MYC","PLAU","TMSB10"
"CELF2","ALDOA","CILP2","MGP","S100A11","MPRIP","TNFAIP3","HECW2"
"IGFBP6","SERPINH1","RAB1A","OGN","S100A13","ANO1","B2M","PLCB1"
"LHFPL6","COX4I1","SLC15A4","CHI3L1","CD99","AGRN","CD93","TNFAIP8L1"
"SFPQ","COX7A1","H2AFZ",NA,"PLAU","AKAP12","LPAR6","LIMS2"
"ABLIM1","COX5B","HIVEP2",NA,"FILIP1L","CAV1","CSTB","MX1"
"PLXDC1","PSMA7","QSOX1",NA,"FSTL1","ENAH","CTSB","GASK1B"
"CCN1","TCEAL9","DENND5A",NA,"UBB","HSP90AB1","CD4","HLA-A"
"NTRK2","ZNHIT1","PPP4R4",NA,"MAP1B","SORBS2","GPX1","SHE"
"ANGPTL5","PXDN","P4HA1",NA,"ENSG00000155130","ITGB1","ADA2","LPAR6"
"IVNS1ABP","ANGPTL1","RASSF8",NA,"COLEC12","EPHA2","HCLS1","TINAGL1"
"KLF10","KRTCAP2","VCAM1",NA,"H3F3A","C1QTNF1","TMEM176B","MT-CO2"
"SPTAN1","SEC61B","DNAJB9",NA,"CXCL2","IL6","EPB41L3","ENG"
"FRZB","COPS9","HSPA5",NA,"TXN","FOS","OTULINL","FGD5"
"DDX17","RABAC1","TSPAN2",NA,"ENSG00000128016","ARHGEF7","ARHGAP4","SH3BGRL2"
"SCARA5","CFL1","P3H2",NA,"THY1","NID1","MPP1","OLFML2A"
"GFPT2","LAMTOR2","FGFBP2",NA,"HES1","ID4","LGALS9","SLC44A2"
"SLC20A1","KDELR3","CCL20",NA,"GPX4","MSRB3","TRAF1","ENSG00000117289"
"CFH","TIMM8B","KCNMA1",NA,"CYGB","IER5L","FGR","LMCD1"
"IL17D","VAMP5","RUBCNL",NA,"MEDAG","FOSB","S100A11","FAM84B"
"SERTAD4","CIB1","CRLF1",NA,"DNAJB1","SNCG","RASSF2","MGST2"
"TNFRSF11B","DAD1","COL8A2",NA,"HSPA1B","ITGA1","RASGEF1B","NPDC1"
"EMP1","FNDC1","NGF",NA,"ADD3","NDRG2","CCL2","MT-ND1"
"NOP2","NDUFB4","CMIP",NA,"PTGER4","CHCHD10","SLC15A3","COL18A1"
"INTS11","ATP5F1D","OAF",NA,"MSC","GADD45B","MT-CO2","DOCK4"
"CYP1B1","PLP2","SYNPO",NA,"ENSG00000177410","HSPA1B","CFLAR","GMFG"
"PER2","BOLA3","HIF1A",NA,"PDGFRL","TIMP3","SAT1","ARHGDIB"
"PIK3R1","RGS3","RELB",NA,"FXYD1","JUNB","SMAP2","MFSD6"
"RBM5","BLOC1S1","KLF5",NA,"SNED1","LRRC32","PLAUR","GRASP"
"CKB","PDLIM2","PTGER2",NA,"SCPEP1","CALM2","MBP","CASKIN2"
"TNK2","PLOD1","CBR3",NA,"SOX4","EOGT","BST2","MAP3K11"
"CIRBP","ATP5PF","COL5A2",NA,"NRP1","ZYX","AHR","CEMIP2"
"JMJD6","SELENOW","AEBP1",NA,"PLPP3","MIDN","B3GNT5","SLC2A3"
"SH3GLB2","YIF1A","SASH1",NA,"PLSCR4","LMNA","CYBA","EPHA4"
"CDK5RAP3","PDPN","METRNL",NA,"ARID5B","MICAL1","HSPA6","FLNC"
"SRSF7","SULF1","GCH1",NA,"TWIST1","SYTL2","ARHGDIB","TSPAN14"
"JADE2","CHCHD2","PGM2L1",NA,"CDH11","PLXND1","ETS2","NPR1"
"ENSG00000260032","BANF1","RSL24D1",NA,"BTF3","EHD2","PLIN2","KLF2"
"WSB1","DNAJC15","LOXL3",NA,"CRABP2","THBD","KLF6","CAV1"
"SLC38A2","ATP6V0E1","ENSG00000245532",NA,"ZNF106","ETS2","OTUD1","FAM241A"
"RBM6","RAB13","ERRFI1",NA,"SLIT3","FRY","ARL4C","NUAK1"
"CYB5D1","PCOLCE","SPARC",NA,"THBS2","HES1","TNFAIP8","MAP3K1"
"BTG2","MDK","COL27A1",NA,"EEA1","RPS11","AMPD3","RASGRP3"
"MAN2C1","CCND1","SELENOM",NA,"CAMK2N1","FADS3","ALCAM","ITPRID2"
"SPTBN1","ISLR","ANGPTL2",NA,"SYCE1L","CDKN1A","ATP5F1E","MT-CO1"
